Feature,Importance
attention,0.14
inactive_contributors,0.125
issue_age_avg,0.11
issue_response_time_avg,0.085
issues_new,0.06
issues_and_change_request_active,0.06
issue_comments,0.055
new_contributors,0.05
change_requests_reviews,0.045
change_request_response_time_avg,0.045
code_change_lines_add,0.035
activity,0.035
code_change_lines_sum,0.03
issue_resolution_duration_avg,0.025
code_change_lines_remove,0.025
stars,0.02
bus_factor,0.02
change_requests_accepted,0.02
change_request_age_avg,0.01
change_request_resolution_duration_avg,0.005
issues_closed,0.0
change_requests,0.0
participants,0.0
