Feature,Importance
change_requests_accepted,1.5926418791900305
change_requests,0.6372381780265778
issues_new,0.6144854241355366
issues_and_change_request_active,0.5987380019668936
change_request_resolution_duration_avg,0.5144047582534278
change_request_age_avg,0.2469187123816138
activity,0.10737212696221261
issues_closed,0.05625698017837361
stars,0.028501024030864436
issue_age_avg,0.012916628246936169
code_change_lines_remove,-0.22135143448857522
issue_resolution_duration_avg,-0.3598013183352333
issue_response_time_avg,-0.4566463754844309
participants,-0.4934636800279279
bus_factor,-0.5134414788220303
change_request_response_time_avg,-0.6238490175988153
attention,-0.6291362616178162
code_change_lines_add,-1.0106496623526222
issue_comments,-1.2112399336296813
code_change_lines_sum,-1.2234171171108759
new_contributors,-1.5277553054814321
change_requests_reviews,-1.704465110076581
inactive_contributors,-1.7568994972095326
